Feature,1002949,1003209,1003210,1003211,1003212,1003631,1003694,1003695
车型名称,北汽幻速H2 2015款 1.5L AMT尊贵型BJ415C,北汽幻速H2 2015款 1.5L 手动豪华型BJ415C,北汽幻速H2 2015款 1.5L AMT豪华型BJ415C,北汽幻速H2 2015款 1.5L AMT舒适型BJ415C,北汽幻速H2 2015款 1.5L 手动舒适型BJ415C,北汽幻速H2 2016款 H2E 1.5L 经典型BJ415A,北汽幻速H2 2016款 H2E 1.5L 时尚型BJ415B,北汽幻速H2 2016款 H2E 1.5L 精英型BJ415B
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,-,-,●
行程(mm),-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,铁,铁,铁,铁,铁,铁,铁,铁
级别,微面,微面,微面,微面,微面,微面,微面,微面
简称,6挡AMT,5挡手动,6挡AMT,6挡AMT,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,●,○,○,○,○,●,●,●
第二排座椅移动,●,○,○,○,○,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座
空调控制方式,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-
皮质方向盘,●,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
环保标准,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV/国V,国IV/国V,国IV/国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-
油箱容积(L),50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),160,160,160,160,160,150,155,155
最小离地间隙(mm),-,-,-,-,-,-,-,-
最大马力(Ps),113,113,113,113,113,102,106,106
最大载重质量(kg),-,-,-,-,-,-,-,-
最大扭矩转速(rpm),3000-5000,3000-5000,3000-5000,3000-5000,3000-5000,3000-5000,3000-5000,3000-5000
最大扭矩(N·m)_y,150,150,150,150,150,135,145,145
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,83,83,83,83,83,75,78,78
最大功率(kW)_x,-,-,-,-,-,-,-,-
无钥匙进入系统,●,●,●,-,-,-,-,-
无钥匙启动系统,●,●,●,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,-,-,-,-,上下调节
方向盘记忆,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1325,1325,1325,1325,1325,1325,1325,1325
排量(mL),1500,1500,1500,1500,1500,1500,1500,1500
挡位个数,6,5,6,6,5,5,5,5
扬声器品牌,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,4-5喇叭
感应雨刷,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,-,-,●
座椅材料,仿皮,仿皮,仿皮,仿皮,仿皮,织物,织物,织物
座位数(个),6-8,6-8,6-8,6-8,6-8,6-8,6-8,6-8
并线辅助,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7,7,7,7,7,6.6,6.5,6.5
工信部续航里程(km),-,-,-,-,-,-,-,-
宽度(mm),1720,1720,1720,1720,1720,1720,1720,1720
定速巡航,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,-,-,-,-,●
外接音源接口,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB,USB+SD卡插槽,-,USB,存储卡插槽
后风挡遮阳帘,-,-,-,-,-,-,-,-
后雨刷,●,-,-,-,-,-,-,●
后轮距(mm),1445,1445,1445,1445,1445,1445,1445,1445
后轮胎规格,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/65 R14,185/65 R14,185/65 R14
后视镜记忆,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,-,-,-,-,○
后视镜电动折叠,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,○,●,●
后排液晶屏,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后悬架类型,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,整体桥式非独立悬架,钢板弹簧非独立悬架,五连杆螺旋弹簧,五连杆螺旋弹簧
后座出风口,●,●,●,●,●,○,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-
变速箱类型,序列变速箱(AMT),手动变速箱(MT),序列变速箱(AMT),序列变速箱(AMT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡AMT,5挡手动,6挡AMT,6挡AMT,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,●,●,●,○,○,-,-,-
发动机型号,BJ415C,BJ415C,BJ415C,BJ415C,BJ415C,BJ415A,BJ415B,BJ415B
发动机启停技术,-,-,-,-,-,-,-,-
发动机,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 102马力 L4,1.5L 106马力 L4,1.5L 106马力 L4
压缩比,-,-,-,-,-,-,-,-
厂商指导价(元),6.68万,6.18万,6.48万,6.18万,5.88万,3.98万,4.38万,4.68万
厂商,北汽银翔,北汽银翔,北汽银翔,北汽银翔,北汽银翔,北汽银翔,北汽银翔,北汽银翔
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,液压助力,液压助力,电动助力
前雾灯,●,●,●,●,●,-,○,●
前轮距(mm),1425,1425,1425,1425,1425,1425,1425,1425
前轮胎规格,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/60 R15,185/65 R14,185/65 R14,185/65 R14
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,-,●,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-
倒车视频影像,●,●,●,-,-,-,-,●
侧滑门,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主/副驾驶座电动调节,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,主○&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副○
中控台彩色大屏,●,●,●,-,●,-,-,●
中央差速器锁止功能,-,-,-,-,-,-,-,-
上市时间,2015.01,2015.01,2015.01,2015.01,2015.01,2015.10,2015.10,2015.10
上坡辅助,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,-,○,●
ISOFIX儿童座椅接口,●,●,●,●,●,-,-,-
GPS导航系统,●,-,-,-,-,-,-,●
CD/DVD,-,-,-,单碟CD,-,-,-,-
ABS防抱死,●,●,●,●,●,-,●,●
220V/230V电源,-,-,-,-,-,-,-,-
