Feature,1010170,1010197,1010198,1010199,1010200,1010201,1010716,1010717,1010718,1010719,1010720,1010721,1010722,1010723,1010724,1010725,1010726,1010727,1010728,1010729,1010730,1010731,1010732,1010733,1010734,1010735,1010736,1010737,1011723,1011778,1011779,1011780,1011781,1011782,1011783,1011821,1013430,1013431,1013432,1013433,1013434,1013435,1013436,1013437,1013438,1013439,1013440,1013441,1013442,1014437,1014438,1014451,1014453,1014454,1014455,1014456,1014736,1014737
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3360,3360,3360,3360,3360,3360,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,2960,2960,2960,2960,2960,2960,2960,2960,3360,3360,3360,3360,3360,3360,3360,2960,3360,3360,2960,2960,3360,2960,2960,3360,3360,3360,2960,3360,3570,3570,3360,3360,3360,3360,3360,3360,3360
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,货车,客车,客车,货车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,货车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,货车,客车,客车,货车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,货车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,○,●,●,●,●,○,○,○,-,○,○,○,○,○,○,○,○,○,○,-,○,○,○,○,○,○,-,○,●,●,●,●,○,-,○,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,星锐 2021款 2.2T 捷运王商旅型M1类营运豪华版,星锐 2021款 2.2T 捷运王快运型,星锐 2021款 2.2T 捷运王商旅型M1类非营运豪华版,星锐 2021款 2.2T 捷运王商旅型M1类非营运舒适版,星锐 2021款 2.2T 捷运王商旅型M2类营运版,星锐 2021款 2.2T 捷运王商旅型M2类非营运,星锐 2021款 2.0T 6系星商旅D20TCIF1,星锐 2021款 2.0T 6系星快运5/6座D20TCIF1,星锐 2021款 2.0T 6系星快运7-9座D20TCIF1,星锐 2021款 2.0T 6系星物流D20TCIF1,星锐 2021款 2.0T 5系星商旅5-12座中顶D20TCIF1,星锐 2021款 2.0T 5系星商旅5-12座高顶D20TCIF1,星锐 2021款 2.0T 5系星商旅5-15座中顶D20TCIF1,星锐 2021款 2.0T 5系星商旅5-15座高顶D20TCIF1,星锐 2021款 2.0T 5系星快运5座中顶D20TCIF1,星锐 2021款 2.0T 5系星快运5座高顶D20TCIF1,星锐 2021款 2.0T 5系星快运6/7座中顶D20TCIF1,星锐 2021款 2.0T 5系星快运6/7座高顶D20TCIF1,星锐 2021款 2.0T 5系星快运8/9座中顶D20TCIF1,星锐 2021款 2.0T 5系星快运8/9座高顶D20TCIF1,星锐 2021款 2.0T 5系星物流D20TCIF1,星锐 2021款 2.0T 4系星商旅5-10座D20TCIF1,星锐 2021款 2.0T 4系星商旅5-11座D20TCIF1,星锐 2021款 2.0T 4系星商旅5-12座D20TCIF1,星锐 2021款 2.0T 4系星快运5座D20TCIF1,星锐 2021款 2.0T 4系星快运6/7座D20TCIF1,星锐 2021款 2.0T 4系星快运8/9座D20TCIF1,星锐 2021款 2.0T 4系星物流D20TCIF1,星锐 2021款 2.0T 4系星快运白金版5-7座D20TCIF1,星锐 2021款 2.0T 节油王商旅版非营运商旅版长轴D20TCIF1,星锐 2021款 2.0T 节油王商旅版营运豪华版长轴D20TCIF1,星锐 2021款 2.0T 节油王商旅版非营运豪华版长轴D20TCIF1,星锐 2021款 2.0T 节油王商旅版非营运舒适版长轴D20TCIF1,星锐 2021款 2.0T 节油王快运版非营运版本长轴D20TCIF1,星锐 2021款 2.0T 节油王物流版厢式货车长轴D20TCIF1,星锐 2021款 2.0T 节油王白金版长轴D20TCIF1,星锐 2022款 2.0T节油王PLUS快运版短轴5座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS快运版中轴5-6座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS快运版中轴7座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS快运版短轴6-7座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS商旅版短轴10座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS商旅版中轴5-10座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS商旅版短轴11座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS商旅版短轴12座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS商旅版中轴11座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS商旅版中轴12座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS豪华版中轴5-9座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS舒适版短轴8-9座HFC4DB3-2E4,星锐 2022款 2.0T节油王PLUS舒适版中轴8-9座HFC4DB3-2E4,星锐 2023款 2.5T 6系商旅版17座D25TCIF1,星锐 2023款 2.5T 6系物流版2/3座D25TCIF1,星锐 2023款 2.0T 5系商旅版非营运HFC4DB3-2E4,星锐 2023款 2.0T 5系商旅版9座D20TCIF1,星锐 2023款 2.0T 5系快运版6/7座D20TCIF1,星锐 2023款 2.0T 5系物流版3座D20TCIF1,星锐 2023款 2.0T 5系快运版6/7座HFC4DB3-2E4,2023款 2.0T 5系商旅版7座D20TCIF1,2023款 2.0T 5系商旅版非营运7座HFC4DB3-2E4
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,-,-,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,,,,,,-,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,-,,,,-,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,○,●,●,●,●,○,○,○,-,○,○,○,○,○,○,○,○,○,○,-,○,○,○,○,○,○,-,○,●,●,●,●,○,-,○,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),100,130,130,130,100,130,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,130,130,130,130,130,130,130,-,-,-,-,-,-,-,130,-,-,-,-,-,-,-,-,-,-,-,-,-,135,135,-,-,-,-,-,130,130
最小离地间隙(mm),190,190,190,190,190,190,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,195,195,195,195,195,195,195,195,-,-,-,-,-,-,-,195,190,190,195,195,190,195,195,190,190,190,195,190,160,160,190,190,190,190,190,190,190
最大马力(Ps),129,129,129,129,129,129,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,129,129,129,129,129,129,129,129,129,129,129,129,129,150,150,129,126,126,126,129,126,129
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4300,4490,-,-,-,-,-,-,-
最大扭矩转速(rpm),1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1600-2200,1400-2400,1400-2400,1600-2200,1600-2400,1600-2400,1600-2400,1600-2200,1600-2400,1600-2200
最大扭矩(N·m)_y,330,330,330,330,330,330,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,360,360,360,360,360,360,360,360,360,360,360,360,360,400,400,360,350,350,350,360,350,360
最大扭矩(N·m)_x,330,330,330,330,330,330,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,360,360,360,360,360,360,360,360,360,360,360,360,360,400,400,360,350,350,350,360,350,360
