Feature,23070,24140,24141,24142,24143,24144,26680,26684,35569,35570
车窗一键升降,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车型名称,维特拉 2016款 1.4T 自动四驱旗舰型,维特拉 2016款 1.4T 自动两驱豪华型,维特拉 2016款 1.4T 手动两驱豪华型,维特拉 2016款 1.4T 自动两驱精英型,维特拉 2016款 1.4T 手动两驱精英型,维特拉 2016款 1.6L 手动两驱进取型,维特拉 2016款 1.4T 自动四驱领先型,维特拉 2016款 1.4T 自动四驱精英型,维特拉 2018款 1.4T 手动两驱星耀版,维特拉 2018款 1.4T 自动两驱星耀版
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,-,-,-,●,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,-,-,-,-,-,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,6挡手自一体,6挡手自一体,6挡手动,6挡手自一体,6挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手动,6挡手自一体
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,-,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-
电动天窗,●,●,●,-,-,-,●,-,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-
油箱容积(L),47,47,47,47,47,47,47,47,47,47
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),140,140,140,140,140,122,140,140,140,140
最大扭矩转速(rpm),1700-4000,1700-4000,1700-4000,1700-4000,1700-4000,4400,1700-4000,1700-4000,1700-4000,1700-4000
最大扭矩(N·m)_y,220,220,220,220,220,158,220,220,220,220
最大扭矩(N·m)_x,220,220,220,220,220,158,220,220,220,220
最大功率转速(rpm),5500,5500,5500,5500,5500,6000,5500,5500,5500,5500
最大功率(kW)_y,103,103,103,103,103,90,103,103,103,103
最大功率(kW)_x,103,103,103,103,103,90,103,103,103,103
无钥匙进入系统,●,●,●,●,●,-,●,●,●,●
无钥匙启动系统,●,●,●,●,●,-,●,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-
方向盘换挡,●,●,-,●,-,-,●,●,-,●
方向盘加热,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1260,1180,1170,1180,1170,1120,1260,1260,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-
排量(mL),1373,1373,1373,1373,1373,1586,1373,1373,1373,1373
挡位个数,6,6,6,6,6,5,6,6,6,6
扬声器品牌,-,-,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,-,-,-,●,●
感应雨刷,●,●,●,-,-,-,-,-,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●
座椅材料,仿皮,仿皮,仿皮,织物,织物,织物,织物,织物,仿皮,仿皮
座位数(个),5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),5.9,5.4,5.4,5.4,5.4,5.4,5.9,5.9,5.4,5.4
导航路况信息显示,-,-,-,-,-,-,-,-,-,-
宽度(mm),1775,1775,1775,1775,1775,1775,1775,1775,1775,1775
实测油耗(L/100km),6.8,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),39.7,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),8.46,-,-,-,-,-,-,-,-,-
定速巡航,●,●,●,-,-,-,-,-,●,●
官方0-100km/h加速(s),9.2,8.4,8.7,8.4,8.7,11.3,9.2,9.2,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB,USB,USB,USB+SD卡插槽,USB,USB+SD卡插槽,USB+SD卡插槽
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
四驱形式,全时四驱,-,-,-,-,-,全时四驱,全时四驱,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
后轮胎规格,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/60 R16,215/55 R17,215/55 R17,215/55 R17,215/55 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,●,●,●,-,-,-,-,-,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,-,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-
后悬架类型,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架,纵臂扭力梁式非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手自一体,6挡手动,6挡手自一体,6挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手动,6挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-
发动机型号,BOOSTER JET,BOOSTER JET,BOOSTER JET,BOOSTER JET,BOOSTER JET,G-INNOTEC,BOOSTER JET,BOOSTER JET,BOOSTER JET,BOOSTER JET
发动机启停技术,●,●,●,●,●,●,●,●,●,●
发动机,1.4T 140马力 L4,1.4T 140马力 L4,1.4T 140马力 L4,1.4T 140马力 L4,1.4T 140马力 L4,1.6L 122马力 L4,1.4T 140马力 L4,1.4T 140马力 L4,1.4T 140马力 L4,1.4T 140马力 L4
压缩比,9.9,9.9,9.9,9.9,9.9,11,9.9,9.9,9.9,9.9
厂商指导价(元),15.98万,13.98万,13.18万,12.68万,11.88万,9.98万,14.98万,14.38万,13.48万,14.28万
厂商,长安铃木,长安铃木,长安铃木,长安铃木,长安铃木,长安铃木,长安铃木,长安铃木,长安铃木,长安铃木
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●
前轮距(mm),1535,1535,1535,1535,1535,1535,1535,1535,1535,1535
前轮胎规格,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/55 R17,215/60 R16,215/55 R17,215/55 R17,215/55 R17,215/55 R17
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,-,-,-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-,-,-
全景天窗,●,●,●,-,-,-,●,-,●,●
倒车视频影像,●,○,○,-,-,-,●,-,●,●
侧滑门,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,多点电喷,直喷,直喷,直喷,直喷
主动降噪,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏尺寸,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,-,-,-,●,-,●,●
中央差速器锁止功能,●,-,-,-,-,-,●,●,-,-
中央差速器结构,多片离合器,-,-,-,-,-,多片离合器,多片离合器,-,-
上市时间,2015.11,2015.11,2015.11,2015.11,2015.11,2015.11,2016.06,2016.06,2018.08,2018.08
上坡辅助,●,●,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,-,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,-,-,-,●,-,●,●
CD/DVD,-,-,-,单碟CD,单碟CD,单碟CD,-,单碟CD,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-
