,1005096,1005097,1005098,1005099,1006332,1006334,1006335,1006336,1006337,1006338
车型名称,金杯T52 2017款 1.5L创富型双轮DLCG14,金杯T52 2017款 1.5L创富型单轮DLCG14,金杯T52 2017款 1.5L创业型双轮DLCG14,金杯T52 2017款 1.5L创业型单轮DLCG14,金杯T52 2018款 1.5L创富型后双轮DLCG14,金杯T52 2018款 1.5L创业型后双轮DLCG14,金杯T52 2018款 1.5L创富型后单轮DLCG14,金杯T52 2018款 1.5L创业型后单轮DLCG14,金杯T52 2018款 1.6L创富型后双轮DLCG16,金杯T52 2018款 1.6L创业型后双轮DLCG16
厂商指导价(元),5.18万,5.08万,4.98万,4.88万,5.18万,4.98万,5.08万,4.88万,5.38万,5.18万
厂商,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.02,2017.02,2017.02,2017.02,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-
发动机,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4,1.5L 109马力 L4,1.6L 120马力 L4,1.6L 120马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5588×1880×2120,5588×1880×2120,5588×1880×2120,5588×1880×2120,5588×1780×2120,5588×1780×2120,5588×1780×2120,5588×1780×2120,5588×1780×2120,5588×1780×2120
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
最高车速(km/h),-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-
长度(mm),5588,5588,5588,5588,5588,5588,5588,5588,5588,5588
宽度(mm),1880,1880,1880,1880,1780,1780,1780,1780,1780,1780
高度(mm),2120,2120,2120,2120,2120,2120,2120,2120,2120,2120
轴距(mm),3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
前轮距(mm),1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
后轮距(mm),1368,1420,1368,1420,1368,1368,1420,1420,1368,1368
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
整备质量(kg),1490,1440,1490,1440,1490,1490,1440,1440,1515,1515
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车门数(个),4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),-,-,-,-,45,45,45,45,45,45
货箱尺寸(mm),2605x1680x380,2605x1680x380,2605x1680x380,2605x1680x380,2605x1680x380,2605x1680x380,2605x1680x380,2605x1680x380,2605x1680x380,2605x1680x380
最大载重质量(kg),-,-,-,-,745,745,745,745,1495,1495
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,185 R14LT,195 R14LT,185 R14LT,195 R14LT,185 R14LT,185 R14LT,195 R14LT,195 R14LT,185 R14LT,185 R14LT
后轮胎规格,185 R14LT,195 R14LT,185 R14LT,195 R14LT,185 R14LT,185 R14LT,195 R14LT,195 R14LT,185 R14LT,185 R14LT
发动机型号,DLCG14,DLCG14,DLCG14,DLCG14,DLCG14,DLCG14,DLCG14,DLCG14,DLCG16,DLCG16
排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1599,1599
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-
气缸排列形式,L,L,L,L,L,L,L,L,-,-
气缸数(个),4,4,4,4,4,4,4,4,-,-
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,-,-
压缩比,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-
缸径(mm),-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),109,109,109,109,109,109,109,109,120,120
最大功率(kW)_y,80,80,80,80,80,80,80,80,88,88
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-
